,Hotel Name,Address,Rating (5),Price (2)
237,Cream Centre,"CA Nagar, North Chennai",4.5,1600
238,Broken Bridge Cafe by Radio Room,"RS Greenways,MRC Nagar, Central Chennai",4.5,1200
239,Roll Over,"OS Thomas Mount, West Chennai",4.1,400
240,Subway,"SV Mall,Anna Nagar, North Chennai",4.0,500
241,Pizza Hut,HA South Chennai,4.0,800
242,Frozen Bottle,BV South West Chennai,4.0,400
243,6th Avenue Restobar,"RA Nagar, North Chennai",4.0,1600
244,The Cake Shop,"ST Leela Palace,MRC Nagar, Central Chennai",4.8,1000
245,Copper Chimney,"CP Market City,Velachery, South West Chennai",4.2,1500
246,Cream & Fudge,FS Central Chennai,4.3,400
247,China X,"XO Leela Palace,MRC Nagar, Central Chennai",4.3,3000
248,Ayur Square Veg Restaurant,RV South West Chennai,4.8,700
249,Urban Spatula,"SA Nagar, North Chennai",4.2,900
250,Spectra,"ST Leela Palace,MRC Nagar, Central Chennai",4.2,2900
251,Coal Barbecues,BV South West Chennai,4.1,1800
252,Superstar Pizza,"PA Nagar, North Chennai",4.3,800
253,Waves,"WR Chennai Egmore,Egmore, North Chennai",4.2,2100
254,Patissez,"PP Market City,Velachery, South West Chennai",4.2,1300
255,Jamavar,"JT Leela Palace,MRC Nagar, Central Chennai",4.2,3000
256,Punjab Grill,"GP Market City,Velachery, South West Chennai",4.2,2000
257,Wow! Momo,MA West Chennai,5.0,400
258,Palmshore,PR West Chennai,4.3,1000
259,Chili’s American Grill and Bar,"BP Market City,Velachery, South West Chennai",4.1,1500
260,MKC - Madras Kitchen Company,"CT Westin Chennai,Velachery, South West Chennai",4.2,1400
261,Mainland China,"CA Nagar, North Chennai",4.2,1200
262,Seasonal Tastes,"TT Westin Chennai,Velachery, South West Chennai",4.2,3600
263,Message In A Bottle,BE North Chennai,4.1,1600
264,Library Blu,"BT Leela Palace,MRC Nagar, Central Chennai",4.2,2300
265,Lobby Lounge,"LT Leela Palace,MRC Nagar, Central Chennai",4.0,2000
266,The Mist,"MA Nagar, North Chennai",4.2,1000
267,That Waffle Place,"PA Nagar, North Chennai",4.2,300
268,Willows,"WT Westin Chennai,Velachery, South West Chennai",4.1,2500
269,Sunset Grill,"GT Westin Chennai,Velachery, South West Chennai",4.1,2500
270,Top Roof Restaurant,RM West Chennai,4.0,500
271,Dindigul Thalappakatti,"TD IT Park,Ramapuram, West Chennai",4.5,700
272,Cook Gramam,"GA Nagar, North Chennai",4.3,500
273,Lattice,LA South Chennai,4.1,1600
274,Chennai Kulfi,"KA Nagar, North Chennai",4.6,200
275,The Ma,"MM ShopAdyar, South Chennai",4.7,600
276,Haven Sampoorna,"SA Complex,Besant Nagar, South Chennai",4.4,1200
277,ABs - Absolute Barbecues,BA South Chennai,4.0,1800
278,Buttons Cupcakes,"CB Nagar, South Chennai",5.0,300
279,Shout Bar & Cafe,CR West Chennai,4.0,1400
280,The Tickle Truck,"TB Nagar, South Chennai",4.6,200
281,The Cycle Gap,GA South Chennai,4.0,1700
282,Hotel Saravana Bhavan,BP West Chennai,4.2,600
283,99 Pancakes,"PB Nagar, South Chennai",4.7,300
284,ABs - Absolute Barbecues,BV South West Chennai,4.3,1800
285,Kurtosh Bistro,"BB Nagar, South Chennai",4.5,700
286,Little Italy,"IB Nagar, South Chennai",4.4,1500
287,Middle Of No Where,WM West Chennai,4.1,1200
288,Mash Resto Cafe,"CB Nagar, South Chennai",4.3,800
289,Superstar Pizza,"PB Nagar, South Chennai",4.2,800
290,The Great Kabab Factory,"FR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,3000
291,Jonah's Bistro,"BB Nagar, South Chennai",4.1,1400
292,Writer's Cafe,CT South West Chennai,4.5,800
293,Sandwich Square,"SB Nagar, South Chennai",4.1,600
294,Dindigul Thalappakatti,"TB Nagar, South Chennai",4.0,1000
295,Boats,"BB Nagar, South Chennai",4.0,1900
296,Atte - Glocal Cafe,"CB Nagar, South Chennai",4.0,500
297,The Cascade,"CB Nagar, South Chennai",4.2,800
298,Blu Hickey Bistro,"BR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,2000
299,ABs - Absolute Barbecues,BP West Chennai,4.2,1800
300,The Kati Roll Shop,"SB Nagar, South Chennai",4.0,500
301,Ministry of Chutneys,"CR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.1,2500
302,Dindigul Thalappakatti,TP West Chennai,4.4,700
303,The Alcove,"AB Nagar, South Chennai",4.1,1500
304,Diff 4,42 South West Chennai,4.1,1900
305,Cinnamon,"CT Hotel,Meenambakkam, South West Chennai",4.1,2500
306,Samudra,"ST Hotel,Meenambakkam, South West Chennai",4.0,1200
307,M,"MA - Global Veg KitchenGrand Arcade,Velachery, South West Chennai",4.3,900
308,Pind,PV South West Chennai,4.1,1000
309,TN 72 Cafe,CK South Chennai,4.5,400
310,Score - The Sports Bar & Grill,"GH Inn,Thiruvanmiyur, South Chennai",4.4,1800
311,Chennai Kulfi,"KA Nagar, North Chennai",4.3,200
312,Waf Bites,BM West Chennai,4.4,300
313,Cafe G,"GH Inn,Thiruvanmiyur, South Chennai",4.1,1800
314,Dindigul Thalappakatti,TM West Chennai,4.1,700
315,Creamy Inn,IV South West Chennai,5.0,300
316,The Lounge,"LH Inn,Thiruvanmiyur, South Chennai",4.0,1000
317,The Cascade,"CA Santham Building,Mogappair, West Chennai",4.6,800
318,Chop N Stix,SP West Chennai,4.3,1000
319,East Coast at Madras Square,SN South Chennai,4.5,1400
320,Barbeque Nation,"NT Grand Mall,Velachery, South West Chennai",4.1,1800
321,Fuel Juice & Pasta Bar,BM West Chennai,4.7,500
322,Tipsy Crow,"CG Arcade,Velachery, South West Chennai",4.0,1800
323,Twist Restaurant,"RT Chennai,Perungudi, South West Chennai",4.5,2500
324,The Madras Diner,DM West Chennai,4.3,900
325,Noodle Bowl,BP West Chennai,4.0,600
326,Pedreno's,"PO Mahabalipuram Road OMR, South West Chennai",4.6,2500
327,Donut House,HP South West Chennai,5.0,400
328,Pitcherr Perfect,PK South Chennai,4.0,1600
329,Tasty Kitchen,KP North Chennai,4.2,600
330,Dindigul Thalappakatti,TP North Chennai,4.3,700
331,Chaat Chatore,CI West Chennai,4.4,300
332,Double Roti,RN South Chennai,4.3,1000
333,Dosa.in,DM West Chennai,4.3,300
334,Buhari Restaurant,"RP Towers,Poonamallee, West Chennai",4.3,1000
335,Bhatinda Xpress,"XM Arcade,Thuraipakkam, South West Chennai",4.2,1200
336,The Bench Cafe,CK North Chennai,4.1,600
337,Pind,"PM Arcade,Thuraipakkam, South West Chennai",4.4,1000
338,Dindigul Thalappakatti,"TO Mahabalipuram Road OMR, South West Chennai",5.0,700
339,Oasis,"OP Plaza Chennai,Thuraipakkam, South West Chennai",4.4,1500
340,Barbeque Nation,NT South West Chennai,4.2,2000
341,Hub At E,EC South Chennai,4.2,2900
342,Dindigul Thalappakatti,TV South Chennai,4.2,700
343,Flower Drum,DT South West Chennai,4.3,1100
344,"Tosai clubThuraipakkam, South West Chennai₹ 800 for 2 (approx) | North Indian, Chinese, Continental, South Indian",,4.0,800
345,Chennai Kulfi,"KO Food Street,Injambakkam, South Chennai",4.5,200
