,Hotel Name,Address,Rating (5),Price (2)
173,Alchemy Bar & Lounge,"LH Raj Park,Alwarpet, Central Chennai",4.3,2200
174,The Kati Roll Shop,SG Central Chennai,3.3,700
175,Amaravathi,AM Central Chennai,4.3,800
176,English Tavern,TA Central Chennai,4.0,1500
177,Q Bar,"BH Chennai,Guindy, South Chennai",3.9,3500
178,Goldman's Steakhouse,SN Central Chennai,4.4,1400
179,Havmor Havfunn,HA Central Chennai,3.9,300
180,Palm Jumeira,"JT Lights, Central Chennai",3.8,800
181,Bombay Brasserie,BN Central Chennai,4.3,1200
182,Waf Bites,"BK Nagar, West Chennai",4.3,300
183,Writer's Cafe,CG Central Chennai,4.2,800
184,Vintage Bank,"BH Chennai,Guindy, South Chennai",4.3,3200
185,The Dining Room,"RP Hyatt,Guindy, South Chennai",3.8,3000
186,The Chamiers Deli Shop,"SN Chennai,Nandanam, Central Chennai",1.7,800
187,The Quintessence,"QH Raj Park,Alwarpet, Central Chennai",4.0,1200
188,The Patiala House,HC Central Chennai,4.3,600
189,Ayna,"AH Chennai,Guindy, South Chennai",4.1,3000
190,The Fruit Bowl Co.,CR Central Chennai,5.0,500
191,Ashvita Bistro,BA Central Chennai,3.1,1200
192,Vasco's,"VH Chennai,Guindy, South Chennai",4.0,3000
193,Royal Sandwich,SA Central Chennai,2.7,300
194,Spice It,"II Chennai City Centre,Thousand Lights, Central Chennai",4.1,1500
195,E,"ES Chennai,Guindy, South Chennai",4.0,1500
196,Subway,SN Central Chennai,3.0,500
197,Brasa,"BR Blu City Centre,Egmore, North Chennai",4.9,1800
198,Mearth Cafe,"CR Puram, Central Chennai",4.3,800
199,Cake Waves,WA West Chennai,3.0,500
200,The Buffet Square,"SR Plaza,Guindy, South Chennai",3.1,1500
201,Out of the Bottle,BG Central Chennai,2.6,400
202,Level Up,"UA Skywalk Mall,Aminjikarai, North Chennai",3.6,2500
203,Haji Ali Juice Centre,CC Central Chennai,4.3,500
204,Cream En Creamy,CS West Chennai,2.4,500
205,Sri Akshayaas,AA North Chennai,2.9,500
206,The Marina,MN Central Chennai,4.4,800
207,Lyfe by Soul Garden Bistro,BK North Chennai,4.2,800
208,Sweetsoul Buddha Bowls,"BH Raj Park,Alwarpet, Central Chennai",3.3,1000
209,The Greenhouse Barbecue,"BH Blue Diamond,Kilpauk, North Chennai",4.3,1600
210,The Pedreno's,PM Central Chennai,4.2,1900
211,Abid's,AC Central Chennai,4.4,800
212,Waf Bites,BI West Chennai,4.3,300
213,Gully Baar,BK North Chennai,4.3,1700
214,Navrang,NR Central Chennai,3.8,600
215,The Verandah,"VT Connemara,Anna Salai, Central Chennai",4.6,1800
216,Brownie Heaven,HR Central Chennai,4.1,800
217,27 Culinary Street,SM Central Chennai,4.0,1400
218,Rolls on Wheels,WK North Chennai,5.0,300
219,Azzuri Bay,BA South Chennai,4.2,1800
220,The Fat Boy,"BS Nagar, West Chennai",4.7,1100
221,Thaligai,TM Central Chennai,3.8,700
222,Murugan Idli Shop,"ST Nagar, Central Chennai",NR,300
223,The Great Kabab Factory,"FR Blu City Centre,Egmore, North Chennai",4.2,3000
224,Pizza Avenue,AE North Chennai,4.8,700
225,Writer's Cafe,CE North Chennai,4.4,800
226,Dindigul Thalappakatti,TG South Chennai,4.2,700
227,La Chocolate,CE North Chennai,4.3,700
228,Delhi Highway,HE North Chennai,4.1,1300
229,Olives,"OR Central Deccan,Royapettah, Central Chennai",4.1,900
230,Kaaraikudi,KM Central Chennai,3.5,700
231,The Spice,"SH Hotel,Guindy, South Chennai",3.9,2000
232,Brownie Heaven,HE North Chennai,4.0,800
233,Jonah's Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.4,1400
234,The Board Room,RM Central Chennai,4.2,500
235,Punjab Grill,"GE Avenue Mall,Royapettah, Central Chennai",4.0,2000
236,Cafe Treat,"TT Pride Hotel,Kilpauk, North Chennai",4.2,1200
237,B,"BL CH3MISTRYValasaravakkam, West Chennai",4.1,1300
238,Havmor Havfunn,"HS Building,Egmore, North Chennai",3.1,300
239,The Moon and Sixpence,"SH Hotel,Guindy, South Chennai",3.8,2500
240,Libarrel,LM Central Chennai,4.2,2200
241,Silver Spoon,"SA Nagar, North Chennai",4.2,1000
242,Juice Forest,FM Central Chennai,3.5,300
243,Waf Bites,BA South Chennai,4.7,300
244,Prive Restaurant,RM Central Chennai,4.4,1200
245,Mamagoto,"ME Avenue Mall,Royapettah, Central Chennai",4.0,1500
246,Kaaraikudi,"KE Avenue Mall,Royapettah, Central Chennai",3.5,800
247,Chai Waale,WK North Chennai,5.0,200
248,Chai Waale,WE North Chennai,4.0,200
249,Spice Trail,TE North Chennai,4.0,1000
250,Taco Bell,"BE Avenue Mall,Royapettah, Central Chennai",4.0,500
251,Murugan Idli Shop,"SA Nagar, North Chennai",4.4,300
252,Creamy Inn,"IS square,Chetpet, Central Chennai",2.0,300
253,Lyfe by Soul Garden Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.0,800
254,Lava Bar - Metro Grand Hotel,"HM Grand Hotel,Arumbakkam, West Chennai",3.9,1500
255,Palmshore,PE North Chennai,4.1,1000
256,Brownie Heaven,HA South Chennai,4.7,800
257,Double Roti,"RA Nagar, North Chennai",4.4,1000
258,Snofield,SG Central Chennai,2.0,300
259,Little Italy,"IA Nagar, North Chennai",4.5,1500
260,Cake Waves,WV West Chennai,2.5,500
261,Fuel Juice And Pasta Bar,BK North Chennai,4.4,500
262,The Dome,"DL Royal Meridien Chennai,St. Thomas Mount, West Chennai",3.7,2000
263,The Cascade,"CR Tower,Anna Nagar, North Chennai",4.2,800
264,That Waffle Place,PR Central Chennai,4.1,300
265,Creamy Inn,"IA Nagar, North Chennai",4.3,300
266,Kumarakom,KG South Chennai,3.0,800
267,Chai Xpress,XK North Chennai,3.0,300
268,Superstar Pizza,PE North Chennai,4.2,800
269,Savoury Sea Shell,"SA Nagar, North Chennai",4.2,1000
270,Palm Jumeira,JR Central Chennai,3.9,1100
271,The Republik Beer Cafe,CA South Chennai,4.1,1500
272,Convo @ C,C2 South Chennai,4.4,900
273,Writer's Cafe,CA South Chennai,4.5,800
274,Hotel Saravana Bhavan,BM Central Chennai,3.8,600
275,Bombay Brasserie,"BV 77,Adyar, South Chennai",4.3,1400
276,Prive Restaurant,"RV Hotel,Kilpauk, North Chennai",4.3,1200
277,Asian Station,"SA Nagar, North Chennai",4.1,1100
278,Pulusu Ruchulu,"RA Nagar, North Chennai",3.9,800
279,Southern Chinese,"CA Nagar, North Chennai",4.2,800
280,Kebabery,"KA Nagar, North Chennai",3.9,900
281,Prems Graama Bhojanam,BA South Chennai,4.6,300
282,Mozza,"MA Nagar, North Chennai",4.3,1200
283,Little North,NK North Chennai,4.0,800
284,DIL SE  Rasoi,RK North Chennai,3.9,600
285,Sigree,"SA Nagar, North Chennai",3.8,1600
286,Haunted,"HA Nagar, North Chennai",3.4,1400
287,That Madras Place,PA South Chennai,3.9,800
288,The Scoop Bar,"BA Nagar, North Chennai",4.1,600
289,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.0,700
290,Ente Keralam,"KA Nagar, North Chennai",4.3,800
291,Desi Street,SA Central Chennai,4.1,1000
292,Chai Waale,"WV Plaza,Anna Nagar, North Chennai",5.0,200
293,La Woods Restaurant,"RL Woods Hotel,Royapettah, Central Chennai",3.4,1100
294,Ravi Mehra's Delhi Hotel,HK North Chennai,4.4,1000
295,The Ma,"MM ShopAnna Nagar, North Chennai",3.8,600
296,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.2,700
297,Murugan Idli Shop,SK North Chennai,4.0,300
298,Dindigul Thalappakatti,"TV Towers,Triplicane, North Chennai",4.7,700
299,Olive And Basil,BA South Chennai,3.7,1000
300,Cafe Coffee Day,"DA Nagar, West Chennai",NR,900
301,Shaack,"SA Nagar, North Chennai",3.5,1000
302,Nei Idly Sambar,SM Central Chennai,3.6,200
